project_code,original_cost_cr,revised_cost_cr,expenditure_cr,cost_overrun_cr,cost_overrun_pct,delay_days,schedule_change_days,expenditure_change_cr_paimana,revision_cost_change_cr,original_cost,revised_cost,cumulative_expenditure,physical_progress_pct,expenditure_change_cr_flash,progress_change_pct,revised_cost_change_cr,previous_expenditure_cr,previous_progress_pct,flash_history_count,future_delay_flag,snapshot_year,snapshot_month_num,original_end_year,original_end_month,revised_end_year,revised_end_month,sector_freq,ministry_freq,state_freq,implementing_agency_freq
400022,2798.0,2798.0,2037.04,0.0,0.0,0.0,0.0,22.44000000000005,0.0,2798.0,2798.0,2037.04,17.0,22.44000000000005,0.0,0.0,2014.6,17.0,5.0,0,2025.0,11.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,2098.09,0.0,0.0,0.0,0.0,61.05000000000018,0.0,2798.0,2798.0,2098.09,17.0,61.05000000000018,0.0,0.0,2037.04,17.0,6.0,0,2025.0,12.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,2181.96,0.0,0.0,0.0,0.0,83.86999999999989,0.0,2798.0,2798.0,2181.96,20.0,83.86999999999989,3.0,0.0,2098.09,17.0,7.0,0,2026.0,1.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,2311.66,0.0,0.0,0.0,0.0,129.69999999999982,0.0,2798.0,2798.0,2311.66,30.0,129.69999999999982,10.0,0.0,2181.96,20.0,8.0,0,2026.0,2.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400022,2798.0,2798.0,2321.81,0.0,0.0,0.0,0.0,10.150000000000093,0.0,2798.0,2798.0,2321.81,30.0,10.150000000000093,0.0,0.0,2311.66,30.0,9.0,0,2026.0,3.0,2030.0,7.0,2030.0,7.0,0.2149145520455722,0.2133609528741584,0.0011651993785603,0.0073795960642154
400023,749.0,749.0,0.0,0.0,0.0,0.0,-366.0,1.5600000000000025,0.0,749.0,749.0,0.0,0.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,0,2025.0,7.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,749.0,0.0,0.0,0.0,0.0,-366.0,0.0,0.0,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0,2025.0,8.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,0.0,0.0,0.4000000000000909,0.0630372492836754,0.0,-366.0,0.0,-749.0,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,2025.0,10.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,0.0,0.0,0.4000000000000909,0.0630372492836754,0.0,-366.0,0.0,0.0,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0,2025.0,11.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,0.0,0.0,0.4000000000000909,0.0630372492836754,0.0,-366.0,0.0,0.0,749.0,749.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0,2025.0,12.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,0.0,0.94,0.4000000000000909,0.0630372492836754,0.0,-366.0,0.94,0.0,749.0,749.0,0.94,0.0,0.94,0.0,0.0,0.0,0.0,6.0,0,2026.0,1.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,0.0,0.94,0.4000000000000909,0.0630372492836754,0.0,-366.0,0.0,0.0,749.0,749.0,0.94,0.0,0.0,0.0,0.0,0.94,0.0,7.0,0,2026.0,2.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400023,749.0,0.0,0.94,0.4000000000000909,0.0630372492836754,0.0,-366.0,0.0,0.0,749.0,749.0,0.94,0.3,0.0,0.3,0.0,0.94,0.0,8.0,0,2026.0,3.0,2028.0,4.0,2027.0,4.0,0.2149145520455722,0.2133609528741584,0.0445365095805282,0.014629725530813
400035,656.0,656.0,465.73,0.0,0.0,0.0,0.0,1.5600000000000025,0.0,656.0,656.0,465.73,84.0,1.75,0.3499999999999943,0.0,381.695,73.0,1.0,1,2025.0,7.0,2025.0,9.0,2025.0,9.0,0.0189021232522009,0.1226048679440704,0.0051786639047125,0.0047902641118591
400035,656.0,656.0,478.11,0.0,0.0,273.0,273.0,12.379999999999995,0.0,656.0,656.0,478.11,86.0,12.379999999999995,2.0,0.0,465.73,84.0,2.0,0,2025.0,8.0,2025.0,9.0,2026.0,6.0,0.0189021232522009,0.1226048679440704,0.0051786639047125,0.0047902641118591
400035,656.0,656.0,483.9,0.0,0.0,273.0,273.0,5.789999999999964,0.0,656.0,656.0,483.9,88.0,5.789999999999964,2.0,0.0,478.11,86.0,3.0,0,2025.0,9.0,2025.0,9.0,2026.0,6.0,0.0189021232522009,0.1226048679440704,0.0051786639047125,0.0047902641118591
400035,656.0,656.0,509.92,0.0,0.0,273.0,273.0,26.02000000000004,0.0,656.0,656.0,509.92,89.0,26.02000000000004,1.0,0.0,483.9,88.0,4.0,0,2025.0,10.0,2025.0,9.0,2026.0,6.0,0.0189021232522009,0.1226048679440704,0.0051786639047125,0.0047902641118591
